Date,Open,High,Low,Adj Close,Volume,rsi_14,sma_50,adx_20,volume,corr_24,prev_open_close,prev_close_high,prev_close_low,momentum_20,y_1d_dir,ret_1d_fwd
2000-08-16,149.3125,149.9375,147.84375,94.08394622802734,5191600,55.31227005639595,93.05848144536836,11.035735569401186,5191600,-0.32874003054758927,0.5816920857961269,-0.5866565932845015,-0.573417906648836,0.0004208790059661016,1.0,0.010512926326640581
2000-08-17,148.6875,150.4375,148.34375,95.0730438232422,5652200,59.80685363879367,93.09709045415742,10.67769218339721,5652200,-0.3196694501610548,0.5870135765576574,-0.5936565802267979,-0.5714025179351774,-0.0029044513984278764,-1.0,-0.003328996211826696
2000-08-18,150.375,150.375,149.21875,94.7565460205078,4626400,57.80343793633774,93.13667205816756,10.337550966693433,4626400,-0.3158464694802214,0.5639291014647292,-0.5823360013558652,-0.5603134604146847,0.013542290698460802,1.0,0.005428130415189303
2000-08-21,150.03125,150.71875,149.40625,95.27089691,2380600,60.14027227169066,93.19048706057656,9.907226853743074,2380600,-0.3427635722087591,0.5869616012328575,-0.5869616012328575,-0.5747592780313578,0.024899263154062767,-1.0,-0.0016608010959472397
2000-08-22,150.5625,151.3125,150.09375,95.1126709,3075300,59.05678522493042,93.2628472901,9.509277545421657,3075300,-0.30309103266749554,0.5747857411453857,-0.5820020057371789,-0.5682255006073921,0.019941310026811987,1.0,0.003950874190829623
2000-08-23,149.8125,151.28125,149.28125,95.48844909667967,5483200,60.86027819153904,93.3083828736336,9.188809562879683,5483200,-0.2141779448734453,0.5829909787550714,-0.5908763634562175,-0.5780626133168552,0.034061703826293366,1.0,0.0031077364068095026
2000-08-24,151.15625,151.5,150.5,95.7852020263672,4529000,62.27355275672018,93.35669540415118,8.813025403631428,4529000,-0.21340925450113796,0.5689070397228735,-0.584288481288784,-0.5633435395820122,0.04084269177073496,-1.0,-0.0004129908358251333
2000-08-25,151.15625,151.625,150.9375,95.74564361572266,2822200,61.952411923374264,93.40027023325274,8.414062618567925,2822200,-0.21129064187319818,0.5780751807402418,-0.5816639396792831,-0.5712239136747994,0.0644384624931813,1.0,0.0034084825037472566
2000-08-28,151.25,152.90625,151.25,96.07199096679688,5518700,63.619235550805726,93.4657479859383,8.364015395394363,5518700,-0.1757193815139067,0.5787271805980968,-0.5836229647016675,-0.5764424813497638,0.06129732933323839,1.0,0.00020647459870071216
2000-08-29,151.4375,151.875,150.90625,96.09182739257812,3561900,63.72326557887396,93.50788391123126,8.195221156425099,3561900,0.0009328419605547508,0.5743402263025132,-0.5915799023343383,-0.5743402263025132,0.05506118584340802,-1.0,-0.00957248890586937
